Date,Sport,Event,Time,Additional details,Location,Closest Metro,Start time
July 24,rugby sevens,pool rounds - men's,1530-2200,,stade de france,stade de france - saint-denis (rer d),15:30
July 24,football,group stage (men’s),1500-2300,8 matches,multiple locations - check official documentation,,15:00
July 25,handball,preliminaries (women’s),0900-1230,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),09:00
July 25,handball,preliminaries (women’s),1400-1730,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),14:00
July 25,handball,preliminaries (women’s),1900-2230,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),19:00
July 25,rugby sevens,pool rounds - men's,1400-1700,,stade de france,stade de france - saint-denis (rer d),14:00
July 25,rugby sevens,"placement matches, quarters - men's",2000-2300,,stade de france,stade de france - saint-denis (rer d),20:00
July 25,football,group stage (women’s),1700-2300,6 matches,multiple locations - check official documentation,,17:00
July 25,archery,ranking round (women’s),0930-1230,,la defense arena (tentative),puteaux (metro 1),09:30
July 25,archery,ranking round - men's,1415-1715,,la defense arena (tentative),puteaux (metro 1),14:15
July 26,ceremony,opening ceremony,,,,,:
July 27,canoe slalom,heats (m/w),1500-1910,"m c1, w k1",vaires-sur-marne nautical stadium,vaires (transilien paris-est),15:00
July 27,rowing,heats (m/w),0900-1310,"single sculls, double sculls, quadruple sculls",vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:00
July 27,judo,"women’s -48kg, men’s -60kg",1000-1400,elimination & medal rounds,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),10:00
July 27,judo,"women’s -48kg, men’s -60kg",1600-1900,elimination & medal rounds,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),16:00
July 27,hockey,pool stage (m/w),1000-1500,2 matches,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:00
July 27,hockey,pool stage (m/w),1030-1530,2 matches,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:30
July 27,hockey,pool stage (m/w),1700-2200,2 matches,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:00
July 27,hockey,pool stage (m/w),1730-2230,2 matches,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:30
July 27,badminton,group stage (m/w/mixed),0830-1200,singles & doubles,stade pierre de coubertin,porte de vincennes (metro 1),08:30
July 27,badminton,group stage (m/w/mixed),1400-1730,singles & doubles,stade pierre de coubertin,porte de vincennes (metro 1),14:00
July 27,badminton,group stage (m/w/mixed),1930-2300,singles & doubles,stade pierre de coubertin,porte de vincennes (metro 1),19:30
July 27,handball,preliminaries - men's,0900-1230,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),09:00
July 27,handball,preliminaries - men's,1400-1730,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),14:00
July 27,handball,preliminaries - men's,1900-2230,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),19:00
July 27,rugby sevens,"placement matches, semis, finals - men's",1430-2045,,stade de france,stade de france - saint-denis (rer d),14:30
July 27,diving,women’s synchro 3m springboard final,1100-1200,,stade aquatique,stade de france - saint-denis (rer d),11:00
July 27,water polo,preliminary round (2 matches) - women's,1400-1700,,stade aquatique,stade de france - saint-denis (rer d),14:00
July 27,water polo,preliminary round (2 matches) - women's,1830-2130,,stade aquatique,stade de france - saint-denis (rer d),18:30
July 27,boxing,round of 32 or 16 (w/m),1530-1755,"w 54kg, w 60kg",roland-garros stadium,porte d'auteuil (metro 10),15:30
July 27,boxing,round of 32 or 16 (w/m),2000-2255,"m 63.5kg, m 80kg",roland-garros stadium,porte d'auteuil (metro 10),20:00
July 27,tennis,m/w singles,1200-1700,court philippe chartrier,roland-garros stadium,porte d'auteuil (metro 10),12:00
July 27,tennis,m/w singles,1900-2300,court philippe chartrier,roland-garros stadium,porte d'auteuil (metro 10),19:00
July 27,tennis,"m/w singles, doubles",1200-1900,court suzanne lenglen,roland-garros stadium,porte d'auteuil (metro 10),12:00
July 27,tennis,"m/w singles, doubles",1200-1900,court simonne mathieu,roland-garros stadium,porte d'auteuil (metro 10),12:00
July 27,tennis,"m/w singles, doubles",1200-1900,outside courts,roland-garros stadium,porte d'auteuil (metro 10),12:00
July 27,table tennis,"m/w singles preliminary round, mixed doubles round of 16",1500-1800,,porte de versailles exhibition centre,porte de versailles (metro 12),15:00
July 27,table tennis,m/w singles round 1,2000-2300,,porte de versailles exhibition centre,porte de versailles (metro 12),20:00
July 27,surfing,m/w round 1,1900-0430,0700-1630 tahiti time,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),19:00
July 27,swimming,"w 100m fly, w 400m free, m 100m breast, m 400m free, w 4x100m free relay, m 4x100m free relay heats",1100-1300,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),11:00
July 27,swimming,"w 100m fly semis, m 400m free, w 400m free finals, m 100m breast semis, w 4x100m free relay, m 4x100m free relay finals",2030-2230,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),20:30
July 27,football,group stage - men's,1500-2300,8 matches,multiple locations - check official documentation,,15:00
July 27,skateboard,street preliminaries - men's,1200-1530,,la courneuve shooting range,la courneuve (metro 13),12:00
July 27,skateboard,street medal final - men's,1700-1900,,la courneuve shooting range,la courneuve (metro 13),17:00
July 27,shooting,men’s & women’s 10m air pistol qualification,0900-1345,,la courneuve shooting range,la courneuve (metro 13),09:00
July 27,shooting,mixed team 10m air rifle (qualification & final),1030-1150,,la courneuve shooting range,la courneuve (metro 13),10:30
July 27,volleyball,preliminary round - men's,0900-1130,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),09:00
July 27,volleyball,preliminary round - men's,1300-1530,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),13:00
July 27,volleyball,preliminary round - men's,1700-1930,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),17:00
July 27,volleyball,preliminary round - men's,2100-2330,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),21:00
July 27,fencing,"women’s epee, men’s sabre (through quarters)",1000-1640,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",10:00
July 27,fencing,"women’s epee, men’s sabre (semis, finals)",1900-2250,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",19:00
July 27,beach volleyball,preliminary phase (m/w),1400-1600,2 matches,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),14:00
July 27,beach volleyball,preliminary phase (m/w),1800-2000,2 matches,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),18:00
July 27,beach volleyball,preliminary phase (m/w),2200-0000,2 matches,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),22:00
July 27,equestrian,eventing dressage,0930-1830,,château de versailles,versailles château - rive gauche (rer c),09:30
July 27,road cycling (time trial),men’s & women’s individual time trial finals,1430-1830,,pont alexandre iii,invalides (rer c and metro 13/8),14:30
July 27,artistic gymnastics,qualifications - men's,1100-1330,,bercy arena,bercy (metro 6),11:00
July 27,artistic gymnastics,qualifications - men's,1530-1800,,bercy arena,bercy (metro 6),15:30
July 27,artistic gymnastics,qualifications - men's,2000-2230,,bercy arena,bercy (metro 6),20:00
July 27,basketball,group phase (m),1100-1515,2 matches,pierre mauroy stadium,lille,11:00
July 27,basketball,group phase (m),1715-1900,1 match,pierre mauroy stadium,lille,17:15
July 27,basketball,group phase (m),2100-2245,1 match,pierre mauroy stadium,lille,21:00
July 28,canoe slalom,"k1 semis, finals - women's",1530-1850,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),15:30
July 28,rowing,"w single sculls, m single sculls, w double sculls, m double sculls repechage, w coxless pair, m coxless pair, w lightweight double sculls, m lightweight double sculls, w coxless four, m coxless four heats",0900-1310,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:00
July 28,judo,"w -52kg, m -66kg elimination rounds",1000-1400,,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),10:00
July 28,judo,"w -52kg, m -66kg medal rounds",1600-1900,,two locations – check official documentation,palais royal-musée du louvre (metro 1/7),16:00
July 28,hockey,pool stage (2 matches) - women's,1000-1500,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:00
July 28,hockey,pool stage (2 matches) - women's,1030-1530,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:30
July 28,hockey,pool stage (2 matches) - men's,1700-2200,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:00
July 28,hockey,pool stage (2 matches) - men's,1730-2230,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:30
July 28,badminton,m/w/mixed singles & doubles group stage,0830-1200,,stade pierre de coubertin,porte de vincennes (metro 1),08:30
July 28,badminton,m/w/mixed singles & doubles group stage,1400-1730,,stade pierre de coubertin,porte de vincennes (metro 1),14:00
July 28,badminton,m/w/mixed singles & doubles group stage,1930-2300,,stade pierre de coubertin,porte de vincennes (metro 1),19:30
July 28,handball,preliminaries (2 matches) - women's,0900-1230,,stade pierre de coubertin,porte de vincennes (metro 1),09:00
July 28,handball,preliminaries (2 matches) - women's,1400-1730,,stade pierre de coubertin,porte de vincennes (metro 1),14:00
July 28,handball,preliminaries (2 matches) - women's,1900-2230,,stade pierre de coubertin,porte de vincennes (metro 1),19:00
July 28,rugby sevens,pool rounds - women's,1530-2200,,stade de france,stade de france - saint-denis (rer d),15:30
July 28,water polo,preliminary round (2 matches) - men's,1030-1330,,stade aquatique,stade de france - saint-denis (rer d),10:30
July 28,water polo,preliminary round (2 matches) - men's,1500-1800,,stade aquatique,stade de france - saint-denis (rer d),15:00
July 28,water polo,preliminary round (2 matches) - men's,1930-2230,,stade aquatique,stade de france - saint-denis (rer d),19:30
July 28,boxing,"w 50kg, w 66kg, m 51kg, m 57kg, m 71kg, m 92kg round of 32 or round of 16",1100-1310,,roland-garros stadium,porte d'auteuil (metro 10),11:00
July 28,boxing,"w 50kg, w 66kg, m 51kg, m 57kg, m 71kg, m 92kg round of 32 or round of 16",1530-1740,,roland-garros stadium,porte d'auteuil (metro 10),15:30
July 28,boxing,"w 50kg, w 75kg, m 71kg, m 92kg round of 32 or round of 16",2000-2210,,roland-garros stadium,porte d'auteuil (metro 10),20:00
July 28,tennis,m/w singles,1200-1700,court philippe chartrier,roland-garros stadium,porte d'auteuil (metro 10),12:00
July 28,tennis,m/w singles,1900-2300,court philippe chartrier,roland-garros stadium,porte d'auteuil (metro 10),19:00
July 28,tennis,"m/w singles, doubles",1200-1900,court suzanne lenglen,roland-garros stadium,porte d'auteuil (metro 10),12:00
July 28,tennis,"m/w singles, doubles",1200-1900,court simonne mathieu,roland-garros stadium,porte d'auteuil (metro 10),12:00
July 28,tennis,"m/w singles, doubles",1200-1900,outside courts,roland-garros stadium,porte d'auteuil (metro 10),12:00
July 28,table tennis,m/w singles round 1,1000-1400,,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
July 28,table tennis,mixed doubles quarters,1600-1800,,porte de versailles exhibition centre,porte de versailles (metro 12),16:00
July 28,table tennis,m/w singles round 1,2000-2300,,porte de versailles exhibition centre,porte de versailles (metro 12),20:00
July 28,surfing,m/w round 2,1900-0430,0700-1630 tahiti time,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),19:00
July 28,swimming,"m 200m free, m 400m im, w 100m breast, m 100m back, w 200m free heats",1100-1300,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),11:00
July 28,swimming,"m 400m im, w 100m fly finals, m 200m free, w 100m breast, m 100m back semis, m 100m breast final, w 200m free semis",2030-2230,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),20:30
July 28,football,group stage (6 matches) - women's,1700-2300,,multiple locations - check official documentation,,17:00
July 28,sailing,"m/w windsurfing, skiff",1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
July 28,archery,team eliminations - women's,0930-1105,,la defense arena (tentative),puteaux (metro 1),09:30
July 28,archery,team medal rounds - women's,1415-1755,,la defense arena (tentative),puteaux (metro 1),14:15
July 28,shooting,m/w 10m air rifle qualification,0915-1230,,la courneuve shooting range,la courneuve (metro 13),09:15
July 28,shooting,m/w 10m air pistol finals,0930-1305,,la courneuve shooting range,la courneuve (metro 13),09:30
July 28,skateboard,street preliminaries - women's,1200-1530,,la courneuve shooting range,la courneuve (metro 13),12:00
July 28,skateboard,street medal final - women's,1700-1900,,la courneuve shooting range,la courneuve (metro 13),17:00
July 28,volleyball,preliminary round - women's,0900-1130,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),09:00
July 28,volleyball,preliminary round - women's,1300-1530,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),13:00
July 28,volleyball,preliminary round - men's,1700-1930,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),17:00
July 28,volleyball,preliminary round - men's,2100-2330,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),21:00
July 28,fencing,"m épée, w foil through quarters",0930-1650,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",09:30
July 28,fencing,"m épée, w foil semis, medal finals",1900-2310,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",19:00
