Men (Park)
Gavin Bottger (USA)
Jagger Easton (USA)
Augusto Akio (BRA)
Tate Carew (USA)
Luigi Cini (BRA)
Pedro Barros (BRA)
Tom Schaar (USA)
Kieran Woolley (AUS)
Danny Leon (ESP)
Steven Pineiro (PUR)
Keegan Palmer (AUS)
Liam Pace (USA)
Nagahara Yuro (JPN)
Hampus Winberg (SWE)
Keefer Wilson (AUS)
Viktor Solmunde (DEN)
Pedro Quintas (BRA)
Alessandro Mazzara (ITA)
Alex Sorgente (ITA)
Pedro Carvalho (BRA)
Ash Wilcomes (AUS)
Taylor Nye (USA)
Vincent Matheron (FRA)
Elias Nilsen (NOR)
Tyler Edtmayer (GER)
Murilo Peres (BRA)
Rune Glifberg (DEN)
Tommy Calvert (GBR)
Peio Gonzalez (ESP)
Noe Montagard (FRA)
Thomas Augusto (POR)
Kiki Francisco (PHL)
Egoitz Bijueska (ESP)
Yam Behar (ISR)
Edouard Damestoy (FRA)
Ethan Copeland (AUS)
Omar Cocilova (ARG)
George O'Neill (GBR)
Alain Kortabitarte (ESP)
Andrew Macdonald (GBR)
Tom Martin (FRA)
Phoenix Sinnerton (AUS)
Chen Ye (CHN)
Dallas Oberholzer (RSA)


Men (Street)
Shirai Sora (JPN)
Nyjah Huston (USA)
Gustavo Ribeiro (POR)
Aurelien Giraud (FRA)
Netsuke Kairi (JPN)
Onodera Ginwoo (JPN)
Horigome Yuto (JPN)
Richard Tury (SVK)
Kevin Hoefler (BRA)
Sasaki Toa (JPN)
Cordano Russell (CAN)
Jagger Eaton (USA)
Vincent Milou (FRA)
Ryan Decenzo (CAN)
Aoki Yukito (JPN)
Alex Milder (USA)
Giovanni Vianna (BRA)
Chris Joslin (USA)
Matias Dell Olio (ARG)
Braden Hoban (USA)
Mauro Iglesia (ARG)
Felipe Gustavo (BRA)
Gabryel Augilar (BRA)
Matt Berger (CAN)
Jhancarlos Gonzalez Ortiz (COL)
Deivid Tuesta (PER)
Micky Papa (CAN)
Joseph Garbaccio (FRA)
Shane O'Neill (AUS)
Angelo Caro (PER)
Jake Ilardi (USA)
Rome Collyer (AUS)
Greg Rodriguez (MEX)
Kristoffer Kroon (SWE)
Justin Sommer (GER)
Lucas Rabelo (BRA)
Joe Hinson (GBR)
Tommy Flynn (AUS)
Filipe Mota (BRA)
Agustin Aquila (ITA)
Kilian Zehnder (SUI)
Gabriel Ribeiro (POR)
Brandon Valjalo (RSA)
Zhang Jie (CHN)


Women (Park)
Hiraki Kokona (JPN)
Kusaki Hinano (JPN)
Sky Brown (GBR)
Naia Laso (ESP)
Yosozumi Sakura (JPN)
Minna Stess (USA)
Raicca Ventura (BRA)
Ruby Trew (AUS)
Bryce Wettstein (USA)
Lilly Stoephasius (GER)
Arisa Trew (AUS)
Ruby Lilley (USA)
Lola Tambling (GBR)
Dora Varella (BRA)
Grace Marhoefer (USA)
Yndiara Asp (BRA)
Hasegawa Mizuho (JPN)
Jordyn Barratt (USA)
Lillian Erickson (USA)
Isadora Pacheco (BRA)
Sugawara Mei (JPN)
Cho Hyunju (KOR)
Nakamura Kisa (JPN)
Emilie Alexandre (FRA)
Heili Sirvio (FIN)
Fay Ebert (CAN)
Julia Benedetti (ESP)
Poppy Starr (AUS)
Charlotte Heath (AUS)
Nana Taboulet (FRA)
Gadea Moja (ESP)
Lilly Strachan (GBR)
Aaliyah Wilson (AUS)
Coco Crafter (AUS)
Li Yujuan (CHN)
Hedda Hjertberg (SWE)
Zheng Haohao (CHN)
Victoria Bassi (BRA)
Lucrezia Zarattini (ITA)
Madeleine Larcheron (FRA)
Fernanda Tonissi (BRA)
Ceci Rendueles (ESP)
Alisa Fessi (AUT)
Aya Asaqas (MAR)


Women (Street)
Nishiya Momiji (JPN)
Rayssa Leal (BRA)
Oda Yumeka (JPN)
Chloe Covell (AUS)
Akama Liz (JPN)
Nakayama Funa (JPN)
Yoshizawa Coco (JPN)
Pamela Rosa (BRA)
Ito Miyu (JPN)
Paige Heyn (USA)
Gabi Mazetto (BRA)
Roos Zwetsloot (NED)
Cui Chenxi (CHN)
Daniela Terol (ESP)
Liv Lovelace (AUS)
Keet Oldenbeuving (NED)
Haylie Powell (AUS)
Zeng Wenhui (CHN)
Natalia Munoz (ESP)
Mariah Duran (USA)
Lucie Schoonheere (FRA)
Lore Bruggeman (BEL)
Jazmin Alvarez (COL)
Poe Pinson (USA)
Candy Jacobs (NED)
Charlotte Hym (FRA)
Felicity Turner (AUS)
Ha Siye (KOR)
Kemily Suiara (BRA)
Zhang Yan (CHN)
Zhu Yuanling (CHN)
Isabelly Avila (BRA)
Jessica Ready (NZL)
Afrika Criado Oliva (ESP)
Aldana Bertran (ARG)
Jeromine Lourvet (FRA)
Samantha Secours (CAN)
Vareeraya Sukasem (THA)
Lan Junyi (CHN)
Ailin Arzua (ARG)
Meagan Guy (USA)
Marina Gabriela (BRA)
Weronika Choromanska (POL)
Boipelo Awuah (RSA)
