Date,Gender,Stage,Time,Winner,Loser,Winner Score,Loser Score,Winner Penalty,Loser Penalty
Friday 09 Aug 2024,Womens,Gold Medal,23:30 IST,Netherlands,China,1,1,3,1
Friday 09 Aug 2024,Womens,Bronze Medal,17:30 IST,Argentina,Belgium,2,2,3,1
Thursday 08 Aug 2024,Mens,Gold Medal,22:30 IST,Netherlands,Germany,1,1,3,1
Thursday 08 Aug 2024,Mens,Bronze Medal,17:30 IST,India,Spain,2,1,0,0
Wednesday 07 Aug 2024,Womens,Semi-Final,22:30 IST,China,Belgium,1,1,3,2
Wednesday 07 Aug 2024,Womens,Semi-Final,17:30 IST,Netherlands,Argentina,3,0,0,0
Tuesday 06 Aug 2024,Mens,Semi-Final,22:30 IST,Germany,India,3,2,0,0
Tuesday 06 Aug 2024,Mens,Semi-Final,17:30 IST,Netherlands,Spain,4,0,0,0
Monday 05 Aug 2024,Womens,Quarter-Final,23:30 IST,Belgium,Spain,2,0,0,0
Monday 05 Aug 2024,Womens,Quarter-Final,21:00 IST,Netherlands,Great Britain,3,1,0,0
Monday 05 Aug 2024,Womens,Quarter-Final,16:00 IST,Argentina,Germany,1,1,2,0
Monday 05 Aug 2024,Womens,Quarter-Final,13:30 IST,China,Australia,3,2,0,0
Sunday 04 Aug 2024,Mens,Quarter-Final,23:30 IST,Germany,Argentina,3,2,0,0
Sunday 04 Aug 2024,Mens,Quarter-Final,21:00 IST,Netherlands,Australia,2,0,0,0
Sunday 04 Aug 2024,Mens,Quarter-Final,16:00 IST,Spain,Belgium,3,2,0,0
Sunday 04 Aug 2024,Mens,Quarter-Final,13:30 IST,India,Great Britain,1,1,4,2
Saturday 03 Aug 2024,Womens,,23:15 IST,Belgium,Germany,2,0,0,0
Saturday 03 Aug 2024,Womens,,20:30 IST,China,France,7,1,0,0
Saturday 03 Aug 2024,Womens,,16:45 IST,United States,South Africa,1,0,0,0
Saturday 03 Aug 2024,Womens,,16:15 IST,Australia,Spain,3,1,0,0
Saturday 03 Aug 2024,Womens,,14:00 IST,Netherlands,Japan,5,1,0,0
Saturday 03 Aug 2024,Womens,,13:30 IST,Argentina,Great Britain,3,0,0,0
Friday 02 Aug 2024,Mens,,23:45 IST,Germany,Great Britain,2,1,0,0
Friday 02 Aug 2024,Mens,,23:15 IST,South Africa,France,5,2,0,0
Friday 02 Aug 2024,Mens,,21:00 IST,Argentina,Belgium,3,3,0,0
Friday 02 Aug 2024,Mens,,20:30 IST,Ireland,New Zealand,2,1,0,0
Friday 02 Aug 2024,Mens,,16:45 IST,India,Australia,3,2,0,0
Friday 02 Aug 2024,Womens,,16:15 IST,Netherlands,Belgium,3,1,0,0
